Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
243,29.589,0,1.649,-0.124,-0.182,1.634,0.404,-0.075,0.018,
244,29.657,0,1.665,-0.131,-0.197,1.648,0.394,-0.087,0.017,
245,29.726,0,1.663,-0.129,-0.196,1.646,0.403,-0.091,0.020,
246,29.803,0,1.656,-0.124,-0.195,1.640,0.400,-0.091,0.022,
247,29.870,0,1.659,-0.126,-0.193,1.643,0.390,-0.087,0.016,
248,29.944,0,1.654,-0.125,-0.193,1.638,0.399,-0.081,0.019,
249,30.018,0,1.656,-0.126,-0.193,1.640,0.401,-0.087,0.019,
250,30.103,0,1.656,-0.127,-0.193,1.640,0.397,-0.072,0.017,
251,30.179,0,1.656,-0.127,-0.194,1.640,0.396,-0.077,0.019,
252,30.246,0,1.656,-0.127,-0.196,1.640,0.401,-0.081,0.021,
253,30.309,0,1.655,-0.126,-0.197,1.639,0.397,-0.092,0.023,
254,30.376,0,1.656,-0.126,-0.197,1.640,0.399,-0.101,0.023,
255,30.451,0,1.677,-0.125,-0.197,1.660,0.361,-0.082,0.019,
256,30.540,0,1.652,-0.124,-0.192,1.637,0.408,-0.089,0.026,
257,30.623,0,1.656,-0.126,-0.191,1.640,0.393,-0.091,0.023,
258,30.691,0,1.652,-0.125,-0.189,1.636,0.400,-0.079,0.022,
259,30.761,0,1.662,-0.129,-0.199,1.645,0.394,-0.079,0.020,
260,30.825,0,1.660,-0.128,-0.197,1.644,0.396,-0.098,0.022,
261,30.895,0,1.659,-0.131,-0.195,1.642,0.400,-0.084,0.018,
262,30.969,0,1.658,-0.131,-0.196,1.641,0.401,-0.094,0.019,
263,31.045,0,1.656,-0.130,-0.196,1.639,0.403,-0.084,0.020,
264,31.110,0,1.658,-0.131,-0.195,1.641,0.400,-0.086,0.018,
265,31.182,0,1.658,-0.131,-0.195,1.641,0.401,-0.085,0.019,
266,31.253,0,1.656,-0.131,-0.195,1.639,0.403,-0.084,0.019,
267,31.323,0,1.658,-0.130,-0.195,1.641,0.398,-0.088,0.019,
268,31.386,0,1.651,-0.127,-0.184,1.636,0.401,-0.076,0.019,
269,31.471,0,1.653,-0.126,-0.185,1.638,0.389,-0.088,0.019,
270,31.551,0,1.650,-0.127,-0.184,1.635,0.396,-0.072,0.017,
271,31.646,0,1.649,-0.126,-0.183,1.633,0.398,-0.080,0.019,
272,31.735,0,1.648,-0.125,-0.184,1.632,0.398,-0.096,0.023,
273,31.820,0,1.651,-0.125,-0.185,1.635,0.397,-0.088,0.022,
274,31.908,0,1.648,-0.124,-0.185,1.633,0.400,-0.079,0.022,
275,31.992,0,1.654,-0.126,-0.186,1.639,0.390,-0.087,0.022,
276,32.059,0,1.658,-0.129,-0.199,1.641,0.399,-0.081,0.022,
277,32.124,0,1.682,-0.129,-0.206,1.665,0.347,-0.081,0.023,
278,32.194,0,1.657,-0.133,-0.208,1.639,0.416,-0.107,0.037,
279,32.268,0,1.654,-0.138,-0.205,1.636,0.428,-0.099,0.032,
280,32.355,0,1.674,-0.150,-0.199,1.655,0.406,-0.082,0.020,
281,32.675,0,1.621,-0.357,0.006,1.581,0.663,0.151,-0.106,
282,32.750,0,1.572,-0.361,0.016,1.530,-0.197,-0.093,-0.085,
283,32.821,0,1.544,-0.357,0.018,1.502,-0.206,-0.083,-0.084,
284,33.845,0,1.678,0.419,-0.249,1.605,0.226,-0.072,0.167,
285,33.915,0,1.633,0.401,-0.249,1.563,0.251,-0.050,0.152,
286,33.986,0,1.629,0.398,-0.249,1.560,0.231,-0.049,0.150,
287,34.063,0,1.630,0.396,-0.253,1.561,0.232,-0.050,0.159,
288,34.139,0,1.626,0.389,-0.249,1.559,0.236,-0.052,0.157,
289,34.216,0,1.631,0.389,-0.251,1.564,0.225,-0.055,0.159,
290,34.286,0,1.629,0.388,-0.252,1.562,0.229,-0.057,0.162,
291,34.355,0,1.630,0.387,-0.253,1.563,0.231,-0.061,0.162,
292,34.421,0,1.631,0.388,-0.255,1.563,0.229,-0.059,0.164,
293,34.498,0,1.631,0.388,-0.254,1.564,0.230,-0.062,0.164,
294,34.572,0,1.629,0.386,-0.252,1.563,0.229,-0.061,0.162,
295,34.652,0,1.630,0.387,-0.252,1.563,0.230,-0.060,0.162,
296,34.721,0,1.629,0.387,-0.250,1.563,0.228,-0.058,0.160,
297,34.790,0,1.628,0.385,-0.248,1.562,0.232,-0.059,0.159,
298,34.865,0,1.630,0.385,-0.248,1.564,0.233,-0.063,0.159,
299,34.935,0,1.632,0.386,-0.248,1.566,0.230,-0.060,0.158,
300,35.019,0,1.635,0.384,-0.247,1.570,0.238,-0.071,0.158,
301,35.091,0,1.639,0.384,-0.246,1.574,0.242,-0.081,0.156,
302,35.158,0,1.646,0.384,-0.245,1.581,0.239,-0.092,0.151,
303,35.234,0,1.665,0.380,-0.239,1.603,0.248,-0.141,0.138,
304,35.317,0,1.666,0.372,-0.233,1.607,0.240,-0.153,0.112,
305,35.401,0,1.662,0.368,-0.228,1.604,0.233,-0.161,0.099,
306,35.482,0,1.667,0.368,-0.229,1.610,0.236,-0.177,0.100,
307,35.552,0,1.670,0.367,-0.227,1.613,0.233,-0.182,0.099,
308,35.620,0,1.668,0.366,-0.226,1.611,0.235,-0.182,0.103,
309,35.692,0,1.668,0.367,-0.227,1.611,0.233,-0.184,0.105,
310,35.766,0,1.669,0.367,-0.228,1.612,0.237,-0.179,0.108,
311,35.838,0,1.667,0.367,-0.229,1.610,0.237,-0.181,0.109,
312,35.907,0,1.669,0.365,-0.229,1.613,0.241,-0.180,0.109,
313,35.972,0,1.669,0.358,-0.228,1.614,0.248,-0.179,0.108,
314,36.037,0,1.665,0.352,-0.226,1.612,0.243,-0.174,0.109,
315,36.100,0,1.667,0.349,-0.226,1.615,0.247,-0.172,0.111,
316,36.166,0,1.699,0.350,-0.226,1.647,0.248,-0.179,0.116,
317,36.308,0,1.678,0.307,-0.185,1.639,0.284,-0.161,0.101,
318,36.372,0,1.665,0.297,-0.179,1.629,0.268,-0.158,0.100,
319,36.441,0,1.651,0.276,-0.173,1.618,0.291,-0.150,0.103,
320,36.516,0,1.654,0.263,-0.164,1.624,0.266,-0.147,0.093,
321,36.581,0,1.645,0.254,-0.160,1.617,0.288,-0.141,0.089,
322,36.657,0,1.642,0.247,-0.159,1.616,0.269,-0.145,0.083,
323,36.729,0,1.640,0.241,-0.157,1.614,0.253,-0.142,0.079,
324,36.800,0,1.641,0.238,-0.158,1.616,0.270,-0.139,0.080,
325,36.871,0,1.644,0.229,-0.158,1.620,0.276,-0.140,0.076,
326,36.936,0,1.646,0.226,-0.159,1.623,0.259,-0.145,0.072,
327,37.003,0,1.648,0.227,-0.160,1.624,0.256,-0.142,0.071,
328,37.074,0,1.653,0.227,-0.159,1.629,0.256,-0.147,0.072,
329,37.152,0,1.652,0.225,-0.158,1.629,0.261,-0.143,0.071,
330,37.223,0,1.652,0.224,-0.157,1.629,0.258,-0.144,0.069,
331,37.298,0,1.654,0.226,-0.157,1.631,0.266,-0.144,0.070,
332,37.365,0,1.654,0.226,-0.157,1.631,0.264,-0.143,0.071,
333,37.442,0,1.671,0.228,-0.157,1.648,0.242,-0.147,0.069,
334,37.527,0,1.648,0.226,-0.145,1.625,0.262,-0.140,0.070,
335,37.626,0,1.648,0.230,-0.144,1.626,0.262,-0.133,0.070,
336,37.729,0,1.645,0.233,-0.140,1.623,0.264,-0.130,0.071,
337,37.810,0,1.647,0.237,-0.142,1.624,0.259,-0.142,0.076,
338,37.900,0,1.653,0.237,-0.145,1.630,0.257,-0.140,0.077,
339,37.989,0,1.679,0.236,-0.151,1.655,0.290,-0.132,0.077,
340,38.081,0,1.672,0.220,-0.155,1.651,0.263,-0.148,0.067,
341,38.158,0,1.664,0.218,-0.150,1.643,0.261,-0.148,0.067,
342,38.233,0,1.660,0.217,-0.147,1.639,0.264,-0.141,0.064,
343,38.302,0,1.661,0.216,-0.146,1.640,0.269,-0.145,0.064,
344,38.380,0,1.660,0.214,-0.145,1.640,0.263,-0.140,0.061,
345,38.453,0,1.656,0.213,-0.143,1.636,0.267,-0.142,0.062,
346,38.522,0,1.655,0.214,-0.143,1.635,0.264,-0.149,0.063,
347,38.592,0,1.656,0.215,-0.144,1.636,0.264,-0.142,0.063,
