Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
66.904,0.236,0.097,-16.588,-5.709,-0.467,0.243,0.079,0.256,18.067,
66.971,0.255,0.104,-17.039,-5.675,-0.541,0.283,0.106,0.303,20.503,
67.043,0.276,0.112,-16.035,-5.994,-0.664,0.296,0.113,0.317,20.919,
67.107,0.294,0.121,-15.204,-6.207,-0.668,0.284,0.144,0.318,26.833,
67.170,0.310,0.131,-14.619,-6.102,-0.811,0.256,0.143,0.294,29.240,
67.250,0.322,0.138,-14.495,-5.846,-0.859,0.147,0.099,0.177,34.014,
67.314,0.334,0.145,-14.055,-6.143,-0.979,0.178,0.094,0.202,27.820,
67.377,0.342,0.150,-13.575,-6.004,-0.969,0.137,0.090,0.164,33.389,
67.446,0.344,0.151,-13.606,-5.979,-0.964,0.024,0.013,0.027,28.770,
67.514,0.342,0.148,-14.079,-5.692,-0.998,-0.026,-0.043,0.051,58.978,
67.977,0.035,0.064,24.076,-1.132,1.880,-0.662,-0.182,0.687,15.390,
68.044,0.022,0.061,20.835,-0.400,1.757,-0.197,-0.034,0.200,9.668,
68.123,0.012,0.060,20.409,-0.340,1.747,-0.127,-0.016,0.128,7.033,
68.193,0.006,0.066,16.436,0.640,1.667,-0.088,0.079,0.118,-42.077,
68.260,0.008,0.086,14.459,0.054,1.668,0.031,0.297,0.298,83.954,
68.332,0.006,0.098,17.574,-1.479,2.019,-0.029,0.173,0.175,-80.436,
68.398,0.001,0.096,17.355,-0.993,2.053,-0.079,-0.032,0.085,21.828,
68.467,-0.001,0.082,7.781,3.173,1.374,-0.017,-0.210,0.211,85.357,
68.595,-0.008,0.015,7.280,6.057,0.949,-0.056,-0.522,0.525,83.911,
68.661,-0.015,-0.005,14.023,3.240,1.139,-0.110,-0.299,0.319,69.842,
68.723,-0.016,-0.007,16.352,3.668,1.122,-0.021,-0.039,0.045,61.548,
68.802,-0.016,-0.003,16.585,3.221,1.192,0.003,0.053,0.053,87.063,
68.876,-0.021,-0.000,17.255,2.346,1.425,-0.073,0.038,0.082,-27.624,
68.939,-0.031,0.005,17.329,1.681,1.711,-0.143,0.087,0.168,-31.318,
69.012,-0.049,0.018,19.127,-0.094,2.276,-0.253,0.172,0.306,-34.305,
69.080,-0.076,0.030,20.447,-1.021,2.822,-0.397,0.178,0.435,-24.185,
69.147,-0.096,0.035,17.339,-0.636,3.003,-0.293,0.070,0.301,-13.517,
69.218,-0.110,0.039,15.835,-0.665,3.162,-0.202,0.062,0.211,-17.140,
69.285,-0.124,0.043,16.120,-0.984,3.372,-0.206,0.055,0.214,-15.039,
69.360,-0.141,0.046,16.484,-1.556,3.560,-0.230,0.040,0.234,-9.857,
69.427,-0.159,0.050,15.979,-1.839,3.785,-0.272,0.066,0.280,-13.574,
69.498,-0.179,0.054,16.142,-2.246,4.119,-0.270,0.049,0.274,-10.277,
69.568,-0.200,0.058,15.138,-2.552,4.435,-0.306,0.062,0.312,-11.411,
69.635,-0.222,0.065,14.639,-3.166,4.792,-0.332,0.113,0.351,-18.721,
69.701,-0.246,0.074,14.843,-3.604,5.110,-0.357,0.121,0.377,-18.781,
69.772,-0.265,0.079,12.991,-3.210,5.036,-0.277,0.084,0.289,-16.798,
69.843,-0.280,0.083,11.448,-3.044,5.064,-0.206,0.053,0.213,-14.496,
69.914,-0.293,0.085,10.679,-3.500,5.210,-0.187,0.028,0.189,-8.608,
69.999,-0.307,0.086,10.736,-3.913,5.437,-0.162,0.013,0.162,-4.617,
70.077,-0.319,0.086,10.262,-4.382,5.709,-0.155,-0.001,0.155,0.370,
70.146,-0.331,0.088,10.361,-4.593,5.783,-0.166,0.020,0.167,-6.778,
70.213,-0.345,0.092,9.205,-4.796,5.995,-0.214,0.065,0.224,-16.977,
70.287,-0.353,0.096,9.623,-3.996,5.956,-0.111,0.058,0.125,-27.518,
70.352,-0.362,0.099,9.221,-3.909,6.017,-0.132,0.034,0.136,-14.551,
70.418,-0.373,0.100,9.624,-4.098,6.266,-0.169,0.019,0.170,-6.513,
70.484,-0.385,0.104,9.516,-4.265,6.364,-0.190,0.058,0.199,-17.011,
70.557,-0.397,0.109,8.759,-4.089,6.389,-0.160,0.072,0.176,-24.322,
70.623,-0.404,0.112,9.260,-5.058,6.440,-0.109,0.040,0.117,-20.255,
70.690,-0.414,0.111,9.080,-4.268,6.593,-0.146,-0.015,0.146,5.811,
70.756,-0.431,0.113,9.533,-4.647,6.947,-0.254,0.030,0.255,-6.659,
70.829,-0.454,0.123,9.402,-5.078,7.424,-0.323,0.137,0.351,-22.969,
70.906,-0.475,0.133,9.311,-5.055,7.794,-0.263,0.135,0.295,-27.244,
70.971,-0.490,0.142,8.695,-4.796,7.905,-0.233,0.142,0.273,-31.332,
71.040,-0.503,0.151,7.793,-4.730,7.883,-0.190,0.126,0.228,-33.490,
71.109,-0.518,0.160,8.110,-5.029,8.021,-0.217,0.126,0.251,-30.012,
71.175,-0.536,0.169,7.909,-5.090,8.175,-0.270,0.143,0.305,-27.999,
71.245,-0.543,0.177,6.941,-4.629,8.072,-0.106,0.110,0.153,-45.925,
71.313,-0.545,0.179,7.114,-4.185,8.022,-0.028,0.027,0.039,-43.939,
